NL,OCL,"2~458出自UML文档，459~473出自SysML文档,474~485出自pssm,486~509出自出自博士论文：Using patterns to develop consistent design constraints, Wahler, Michael S.，510~511出自pssm,512~552出自fuml,553~623出自网站https://wiki.xmldation.com/User_Guides/Studio/5%3A_OCL_Rules"
"For diamond kind and an InstanceSpecification modelElement, exactly one Association classifier of the
InstanceSpecification has exactly two memberEnds and exactly two of the UMLEdges linked to the shape have
those memberEnds as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(InstanceSpecification))) implies
let instanceSpecification : InstanceSpecification = modelElement-
>any(true).oclAsType(InstanceSpecification) in
(instanceSpecification.classifier->select(a | a.oclIsKindOf(Association) and
(a.oclAsType(Association).memberEnd->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)
->select(e | a.oclAsType(Association).memberEnd->includes(e.modelElement))
->size()=2))
->size()=1)",
"For diamond kind and a Connector modelElement, the Connector has exactly two ends, and exactly two of the
UMLEdges linked to the shape have definingEnds of those ends as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(Connector))) implies
let connector : Connector = modelElement->any(true).oclAsType(Connector) in
((connector.end->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)->select(em |
connector.end.definingEnd->includes(em))->size()=2))",
UMLAssociationOrConnectorOrLinkShapes must have exactly one modelElement.,modelElement->size()=1,
"modelElement must be an Association, Connector, or InstanceSpecification with an Association classifier.","modelElement->asSequence()->first().oclIsKindOf(Association) or modelElement-
>asSequence()->first().oclIsKindOf(Connector)
or ( modelElement->asSequence()->first().oclIsKindOf(InstanceSpecification)
and (modelElement->asSequence()->first().oclAsType(InstanceSpecification).classifier-
>select(oclIsKindOf(Association))->size() > 0))",
"For diamond kind and an Association modelElement, the Association has exactly two memberEnds, and
exactly two of the UMLEdges linked to the shape have those memberEnds as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(Association))) implies
let association : Association = modelElement->any(true).oclAsType(Association) in
((association.memberEnd->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)->select(em |
association.memberEnd->includes(em))->size()=2))",
"For diamond kind and an InstanceSpecification modelElement, exactly one Association classifier of the
InstanceSpecification has exactly two memberEnds and exactly two of the UMLEdges linked to the shape have
those memberEnds as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(InstanceSpecification))) implies
let instanceSpecification : InstanceSpecification = modelElement-
>any(true).oclAsType(InstanceSpecification) in
(instanceSpecification.classifier->select(a | a.oclIsKindOf(Association) and
(a.oclAsType(Association).memberEnd->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)
->select(e | a.oclAsType(Association).memberEnd->includes(e.modelElement))
->size()=2))
->size()=1)",
"For diamond kind and a Connector modelElement, the Connector has exactly two ends, and exactly two of the
UMLEdges linked to the shape have definingEnds of those ends as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(Connector))) implies
let connector : Connector = modelElement->any(true).oclAsType(Connector) in
((connector.end->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)->select(em |
connector.end.definingEnd->includes(em))->size()=2))",
UMLClassDiagrams must have no modelElements.,modelElement->isEmpty(),
isDoubleSided may be true only when modelElement is an active Class.,"isDoubleSided implies (modelElement->forAll(oclIsKindOf(Class)) and
modelElement.oclAsType(Class)->forAll(isActive))",
UMLCompartments have no modelElements.,modelElement->isEmpty(),
UMLCompositeStructureDiagrams must have exactly one modelElement.,modelElement->size() = 1,
"modelElement must be a StructuredClassifier or an InstanceSpecification with a classifier that is a
StructuredClassifier.","modelElement->asSequence()->first().oclIsKindOf(StructuredClassifier)
or ( modelElement->asSequence()->first().oclIsKindOf(InstanceSpecification)
and (modelElement->asSequence()->first().oclAsType(InstanceSpecification).classifier-
>select(c | c.oclIsKindOf(StructuredClassifier))->size() > 0))",
"UMLDiagrams cannot have headings without frames, or vice-versa.",(isFrame = false) = (heading->isEmpty()),
The modelElement of the heading is the same as the modelElement of the diagram it heads.,(heading->isEmpty()) or (heading.modelElement = modelElement),
UMLKeywords must have exactly one modelElement.,modelElement->size() = 1,
UMLLabels must have no more than one modelElement.,modelElement->size() <= 1,
UMLLabels must have the value of false for isIcon.,isIcon=false,
UMLObjectDiagrams must have no modelElement.,modelElement->isEmpty(),
UMLPackageDiagrams must have no modelElement.,modelElement->isEmpty(),
UMLProfileDiagrams must have no modelElement.,modelElement->isEmpty(),
isInheritedDashed and isInheritedLighter cannot both have a value of true.,not (isInheritedDashed and isInheritedLighter),
"UMLStateShapes may have multiple modelElements only when their outgoing Transitions have no triggers or
effects, and target the same junction State that has one outgoing Transition.","(modelElement->size() > 1) implies
( modelElement->forAll(outgoing->forAll(trigger->isEmpty() and
effect->isEmpty()
and
target.oclIsKindOf(Pseudostate) and
target.oclAsType(Pseudostate).kind = PseudostateKind::junction and
target.outgoing-
>size() = 1))
and modelElement.outgoing.target->asSet()->size()=1)",
modelElement is a Property of a Stereotype.,modelElement->forAll(classifier.oclIsKindOf(Stereotype)),
fontSize must be greater than zero.,fontSize > 0,
UMLTypedElementLabels must have exactly one modelElement.,modelElement->size() = 1,
UMLUseCaseDiagrams must have no modelElements.,modelElement->isEmpty(),
"The referenceUnit shall not be a PrefixedUnit, i.e., it is not allowed to prefix an already prefixed
measurement unit. In general the referenceUnit should be a SimpleUnit.
",not referenceUnit.oclIsTypeOf(PrefixedUnit),
The denominator of a rational number shall not be zero.,denominator <> 0,
A QuantityKind cannot be defined in terms of itself. This follows from the quantity calculus used for expressing a derived QuantityKind in terms of base QuantityKinds chosen for a SystemOfQuantities by means of non- contradictory equations,"dependsOnQuantityKinds()->excludes(self)
",
"For a QuantityKind to have a provenance to a single SystemOfQuantities, all included systems of quantities
shall be transitively disjoint with all used systems of quantities.","allIncludedSystemOfQuantities()->intersection(self.oclAsSet()
->closure(usedSystemOfQuantities))->isEmpty()",
"The set of all QuantityKinds in a given SystemOfQuantities shall be partitioned into two disjoint, covering subsets: 
the set of base QuantityKinds (typically chosen to be mutually independent) and its complement, the 
set of derived QuantityKinds, each of which can be expressed in terms of the base QuantityKinds",allQuantityKinds()->includesAll(allBaseQuantityKinds()),
" Every QuantityKind shall be defined in only one SystemOfQuantities but it can be in the scope of several 
SystemOfQuantities. A given QuantityKind is in scope of a SystemOfQuantities either because it is defined or used in a 
SystemOfQuantities or because it is included from the scope of another SystemOfQuantities.","includedSystemOfQuantities->collect(allQuantityKinds())
->intersection(quantityKind)->isEmpty()",
"For a QuantityKind to have a provenance to a single SystemOfQuantities, the use and includes relationships among 
SystemOfQuantities shall be acyclic.",allAccessibleSystemOfQuantities()->excludes(self),
" In a well-formed SystemOfUnits, all of the prefixes of PrefixedUnits shall be defined in the SystemOfUnits.","allPrefixes()->includesAll(allUnits()->select(oclIsTypeOf(PrefixedUnit))
->collect(oclAsType(PrefixedUnit).prefix))",
All the dependent Units of a SystemOfUnits shall be in the scope of that SystemOfUnits.,allUnits()->includesAll(allUnits()->collect(dependsOnUnits())->flatten()->asSet()),
" All of the quantityKinds that are measurementUnits of Units in the SystemOfUnits shall be defined in the 
systemOfQuantities of that SystemOfUnits.","getEffectiveSystemOfQuantities() = null or let aqk : Set(QuantityKind) = 
getEffectiveSystemOfQuantities().allQuantityKinds() in ->allUnits()
->forAll(u | aqk
->includesAll(getKindOfQuantitiesForMeasurementUnit(u)))",
"For a Unit to have a provenance to a single SystemOfUnits, all included systems of units shall be transitively disjoint 
with all used systems of units.","allIncludedSystemOfUnits()->intersection(self.oclAsSet()
->closure(usedSystemOfUnits))->isEmpty()",
" The set of all Units in a given SystemOfUnits shall be capable of being partitioned into two disjoint, covering subsets: 
the set of base Units (typically chosen to be mutually independent) and all its complement, the set of derived Units, each 
of which can be expressed in terms of the base Units",allUnits()->includesAll(allBaseUnits()),
"Every Unit shall be defined in only one SystemOfUnits but it can be in the scope of several SystemOfUnits. A given 
Unit is in scope of a SystemOfUnits either because it is defined or used in a SystemOfUnits or because it is included 
from the scope of another SystemOfUnits.",includedSystemOfUnits->collect(allUnits())->intersection(unit)->isEmpty()),
" For a Unit to have a provenance to a single SystemOfUnits, the use and includes relationships among SystemOfUnits 
shall be acyclic.",allAccessibleSystemOfUnits()->excludes(self),
"A Unit cannot be defined in terms of itself. This follows from the requirement that, in a coherent SystemOfUnits, the Units of all derived QuantityKinds are expressed in terms of the base Units in accordance with the equations in the SystemOfQuantities",dependsOnUnits()->excludes(self),
A Constraint must be owned as a guard by a Transition and its constrainedElements must be empty.,"self.owner.oclIsKindOf(UML::StateMachines::Transition) and
self.constrainedElement->isEmpty()",
The OpaqueExpression must have a behavior.,self.behavior <> null,
The Expression must have no operands and its symbol must be “else”.,self.symbol = 'else' and self.operand->isEmpty(),
"If an Operation is abstract, it must have no method. Otherwise it must not have more than one method and it must have 
exactly one method unless owned by an active Class.","if self.isAbstract then self.method->isEmpty()
else
self.method->size() <= 1 and
((self.class = null or not self.class.isActive) implies
self.method->size() = 1)
endif",
"A StateMachine may not be a method and, if it has a context, it must be a classifierBehavior for that context.","self.specification = null and
self._'context' <> null implies self._'context'.classifierBehavior = self",
The triggers of a Transition must all be for CallEvents or SignalEvents.,"self.trigger.event->forAll(
oclIsKindOf(UML::CommonBehavior::CallEvent) or
oclIsKindOf(UML::CommonBehavior::SignalEvent)
)",
"The Operations of any CallEvents on the triggers of a Transition must be owned or inherited by the context of the 
containing StateMachine.","let stateMachine = self.containingStateMachine() in
let context_ =
if stateMachine._'context' = null then stateMachine
else stateMachine._'context'
endif in
context_.allFeatures()->includesAll(
self.trigger->select(oclIsKindOf(UML::CommonBehavior::CallEvent)).
oclAsType(UML::CommonBehavior::CallEvent).operation
)",
"The Signals of any SignalEvents on the triggers of a Transition must have matching Receptions that are owned or 
inherited by the context of the containing StateMachine of the Transition.","let stateMachine = self.containingStateMachine() in
let context_ =
if stateMachine._'context' = null then stateMachine
else stateMachine._'context'
endif in
context_.allFeatures()->select(oclIsKindOf(UML::SimpleClassifiers::Reception)).
oclAsType(UML::SimpleClassifiers::Reception).signal->includesAll(
self.trigger->select(oclIsKindOf(UML::CommonBehavior::SignalEvent)).
oclAsType(UML::CommonBehavior::SignalEvent).signal
)",
A State must not have a submachine.,not self.isSubmachineState,
A State must not have a stateInvariant.,self.stateInvariant = null,
A doActivity Behavior of a State can only have in parameters.,"self.doActivity <> null implies
self.doActivity.ownedParameter->forAll(direction =
ParameterDirectionKind::_'in')",
A StateMachine must not have more than one extendedStateMachine,self.extendedStateMachine->size() <= 1,
every customer who enters a loyalty program be of legal age.,age >= 18,
the number of valid cards for every customer must be equal to the number of programs in which the customer participates. ,"programs->size() = cards->select( valid = true )->size()
",
male Customers must be approached using the title 'Mr.'.,gender = Gender::male implies title = 'Mr.',
validFrom should be earlier than goodThru,validFrom.isBefore(goodThru),
selects all transactions on a CustomerCard that have more than 100 points,self.transactions->select( points > 100 )->notEmpty(),
a membership must be one of the service levels of the program to which the membership belongs,"programs.levels ->includes(currentLevel)
",
the actual service level of a membership must always be a service level of the loyalty program ,programs.levels->includes(currentLevel),
the service level of each membership must be a service level known to the loyalty program,"levels->  includesAll(Membership.currentLevel)
",
the color of this card must match the service level of the membership,"currentLevel.name = 'Silver' implies card.color = Color::silver
    and
    currentLevel.name = 'Gold' implies card.color = Color::gold",
a loyalty program offers at least one service to its customers,partners.deliveredServices->size() >= 1,
"if none of the services offered in a LoyaltyProgram credits or debits the LoyaltyAccount instances, then these instances are useless and should not be present","partners.deliveredServices->forAll(
                pointsEarned = 0 and pointsBurned = 0 )
                             implies Membership.account->isEmpty()",
the first element of this ordered set must be named Silver as follows,levels->first().name = 'Silver',
there is at least one ServiceLevel with the name 'basic',self.levels->exists(name = 'basic'),
"the number of participants in a loyalty program must be less than 10,000",self.participants->size() < 10000,
the number of the loyalty account must be unique within a loyalty program,self.Membership.account->isUnique( acc | acc.number ) ,
the names of all customers of a loyalty program are different,"self.participants->forAll(c1, c2 |
                           c1 <> c2 implies c1.name <> c2.name)",
the age of all participants in a loyalty program is less than or equal to 70,participants->forAll( age() <= 70 ),
"there may be only one loyalty account that has a number lower than 10,000",self.Membership.account->one( number < 10000 ),
the attribute numberOfCustomers of class ProgramPartner. We want to state that this attribute holds the number of customers who participate in one or more loyalty programs offered by this program partner. ,"numberOfCustomers = programs.participants->asSet()->size()
",
"the maximum number of points that may be earned by all services of a program partner is equal to 10,000","deliveredServices.transactions       -- all transactions
   ->select( oclIsTypeOf( Earning ) ) -- select earning ones
              .points->sum()               -- sum all points
              < 10,000                -- sum smaller than 10,000",
all cards that generate transactions on the loyalty account must have the same owner,transactions.card.owner->asSet()->size() = 1,
"if the attribute points is greater than zero, there exists a Transaction with points greater than zero",points > 0 implies transactions->exists(t | t.points > 0),
you could demand that at least one of the values be 500,"transactions->collect( points )->
                        exists( p : Integer | p = 500 )",
the available services for a service level must be offered by a partner of the loyalty program to which the service level belongs,"program.partners
             ->includesAll(self.availableServices.partner)",
"A signature (set of Parameters) conforms to a collection of Triggers if one of the following is true: the signature is empty;
all the Triggers are for SignalEvents and the signature has exactly one Parameter of direction in, has multiplicity upper 
bound of 1 and is either untyped or has a type that is a Signal that conforms to all the Signals of the Triggers; or all 
theTriggers are for CallEvents and the signature conforms to or input-conforms to all the signatures of the Operations of 
the CallEvents. (A signature input-conforms to another if the first signature conforms to the signature containing only the 
in Parameters from the second signature).","conformsToAll(
signature : OrderedSet(UML::Classification::Parameter),
triggers : Collection(UML::CommonBehavior::Trigger)) : Boolean =
signature->isEmpty() or
triggers.event->forAll(oclIsKindOf(UML::CommonBehavior::SignalEvent)) and
signature->size() = 1 and
(let parameter = signature->at(1) in
parameter.direction = UML::Classification::ParameterDirectionKind::_'in'
and
parameter.is(1,1) and
(parameter.type = null or
triggers.event.oclAsType(UML::CommonBehavior::SignalEvent).signal-
>forAll(s |
parameter.type.conformsTo(s)
))) or
triggers.event->forAll(oclIsKindOf(UML::CommmonBehavior::CallEvent)) and
triggers.event.oclAsType(UML::CommmonBehavior::CallEvent).operation->
forAll(operation |
conforms(signature, operation.ownedParameter) or
conforms(signature, operation.ownedParameter->select(
direction = UML::Classification::ParameterDirectionKind::_'in'
)))",
"One signature conforms to another if the first signature has the same number of Parameters as the second signature, and 
each Parameter of the first signature has the same direction, ordering and uniqueness as the corresponding Parameter (in 
order) from the second signature and a type and multiplicity that are compatible with those of the corresponding 
Parameter (depending on the Parameter direction).","conforms(
signature1 : OrderedSet(UML::Classification::Parameter),
signature2 : OrderedSet(UML::Classification::Parameter)) : Boolean =
signature1->size() = signature2->size() and
Sequence{1..signature1->size()} -> forAll(i |
let parameter1 = signature1->at(i) in
let parameter2 = signature2->at(i) in
parameter1.direction = parameter2.direction and
parameter1.isOrdered = parameter2.isOrdered and
parameter1.isUnique = parameter2.isUnique and
(parameter2.direction = UML::Classification::ParameterDirectionKind::_'in'
implies
 parameter2.type = null or
 parameter2.type <> null and
 parameter2.type.conformsTo(parameter1.type) and
 parameter2.compatibleWith(parameter1)) and
(parameter1.direction = UML::Classification::ParameterDirectionKind::out or
parameter1.direction = UML::Classification::ParameterDirectionKind::return
implies
 parameter1.type = null or
 parameter1.type <> null and
parameter1.type.conformsTo(parameter2.type) and
parameter1.compatibleWith(parameter2)) and
(parameter1.direction = UML::Classification::ParameterDirectionKind::inout
implies
 parameter1.type = parameter2.type and
 parameter2.compatibleWith(parameter1) and
 parameter1.compatibleWith(parameter2))
)",
upperValue must be a LiteralUnlimitedNatural and lowerValue must be a LiteralInteger. Both are required.,"self.upperValue->notEmpty() and
self.upperValue->asSequence()->first().oclIsKindOf(LiteralUnlimitedNatural) and
self.lowerValue->notEmpty() and
self.lowerValue->asSequence()->first().oclIsKindOf(LiteralInteger)",
concurrency must be sequential,self.concurrency = CallConcurrencyKind::sequential,
isStatic must be false,not self.isStatic,
"Either all the classifiers are classes, or there is one classifier that is a data type","self.classifier->forAll(oclIsKindOf(Class)) or
self.classifier->size() = 1 and self.classifier->forAll(oclIsKindOf(DataType))",
"If an operation is abstract, it must have no method. Otherwise it must not have more than one method and it must have 
exactly one method unless owned by an active class.","If self.isAbstract then self.method->isEmpty() 
else
 self.method->size() <= 1 and
 ((self.class = null or not self.class.isActive) implies
 self.method->size() = 1)
endif",
isException must be false,not self.isException,
isDerived and isDerivedUnion must be false,not self.isDerived and not self.isDerivedUnion,
A reception must not have an associated method.,self.method->isEmpty(),
A reception must not be abstract.,not self.isAbstract,
isDerived must be false,not self.isDerived,
Only active classes may have classifier behaviors.,self.classifierBehavior→notEmpty() implies self.isActive,
Only an active class may specialize an active class.,self.parents()->exist(isActive) implies self.isActive,
Only an abstract class may have abstract behavioral features.,self.member->select(oclIsKindOf(BehavioralFeature))->exists(isAbstract) implies self.isAbstract,
"In this specification, a fUML instance model must have Behavior.isReentrant",self.isReentrant,
body and language must be empty,self.language->isEmpty() and self.body->isEmpty(),
An opaque behavior cannot be active.,not self.isActive,
"An activity may be active, but cannot have a classifier behavior.",self.classifierBehavior->isEmpty(),
isSingleExecution must be false.,not self.isExecution,
A guard is only allowed if the source of the edge is a DecisionNode.,self.guard->notEmpty() implies self.source.oclIsKindOf(DecisionNode),
isCombineDuplicate must be false,not self.isCombineDuplicate,
isMulticast and isMultireceive must be false,not self.isMulticast and not self.isMultireceive,
ordering must be FIFO,self.ordering = ObjectNodeOrderingKind::FIFO,
isControlType must be false,not self.isControlType,
"The operations of the call events on the triggers of an accept call action must be owned or inherited by the context class of 
the action.","let cls: Class = self.context.oclAsType(Class) in
let classes:Bag(Class) = cls.allParents()->select(oclIsKindOf(Class))->collect(oclAsType(Class))->union(cls->asBag()) in
classes.ownedOperation→includesAll(self.trigger.event→collect(oclAsType(CallEvent)).operation)",
The context of the containing activity of the accept event action must be an active class.,self.context.oclAsType(Class).isActive,
An accept event action may not be contained directly or indirectly in the test part of a clause or loop node.,"self->closure(inStructuredNode.oclAsType(ActivityNode))->forAll(n |
let s : StructuredActivityNode = n.inStructuredNode in
 s->notEmpty() implies
(s.ocllsTypeOf(ConditionalNode) implies s.oclAsType(ConditionalNode).clause.test->
excludes(n.oclAsType(ExecutableNode)) and
s.ocllsTypeOf(LoopNode) implies s.oclAsType(LoopNode).test->excludes(n.oclAsType(ExecutableNode))))",
"Unless the action is an accept call action, all triggers must be for signal events.","not self.oclIsKindOf(AcceptCallAction) implies
self.trigger.event->forAll(oclIsKindOf(SignalEvent))",
The behavior may not be active.,not self.behavior.isActive,
isSynchronous must be true,self.isSynchronous,
"If the behavior has a context, it must be the same as the context of the enclosing activity or a (direct or indirect) superclass 
of it.","self.behavior.context->notEmpty() implies
 self.context->union(self.context.allParents())->includes(self.behavior.context)",
isSynchronous must be true,self.isSynchronous,
The given classifier must be a class.,self.classifier.oclIsKindOf(Class),
The given classifier must not be an owned behavior (or otherwise have a context classifier).,self.classifier.oclIsKindOf(Behavior) implies self.classifier.oclAsType(Behavior).context = null,
mode cannot be stream,self.mode <> ExpansionKind::stream,
Edges may not cross into or out of an expansion region,self.edge->forAll(self.node->includes(source) and self.node→includes(target)),
An expansion region may not have output pins.,self.output->isEmpty(),
no setupParts in fUML,self.setupPart->isEmpty(),
isControl must be false,not self.isControl,
The classifier must be a class.,self.classifier.oclIsKindOf(Class),
All the old and new classifiers must be classes.,self.oldClassifier->forAll(oclIsKindOf(Class)) and self.newClassifier→forAll(oclIsKindOf(Class)),
isSynchronous must be false.,not self.isSynchronous,
"The example rule checks every transaction amount in the message and if the number of occurencies of the value 30 is 2, true will be returned.",self.Transaction.Amount->count(30) = 2,
"The example rule checks every transaction amount in the message and if the amount 30 is not found, true will be returned.",self.Transaction.Amount->excludes(30),
"The example rule checks every transaction in the message and if one of the amounts is greater than 100, true will be returned. First a variable ""a"" is declared for the individual transaction. The condition statement is separated with a ""|""-sign. Then the statement is checked for every transaction in the message. If one of the amounts is greater than 100, true will be returned.", self.Transaction->exists(a|a.Amount > 100),
"The example rule checks every transaction in the message if the amount is greater than 30. First a variable ""a"" is declared for the individual transaction. The condition statement is separated with a ""|""-sign. Then the statement is checked for every transaction in the message. If all of the amounts are greater than 30, true will be returned.",self.Transaction->forAll(a|a.Amount > 30),
"The example rule checks every transaction amount in the message and if the amount 30 is found, true will be returned.",self.Transaction.Amount->includes(30),
The example rule mandates the usage of both Creditor Name. I.e. the size of occurrence number of element Creditor / Name has to be 1.,self.Creditor.Name->size() = 1,
" The example sums every transaction amount in the message if the amounts are valid type and compares them to the integer. If the sum is 100, true will be returned.",self.Transaction.Amount->sum() = 100,
The example rule returns the absolut value of the first transaction amount and compares it to the right side operand. It's assumed that the value can be negative (this may not be the case in every situation). ,self.Transaction.at(0).Amount.abs() = 30,
"The example rule compares the date of <TimeStamp> to the date of <Dt>. If the date of  <TimeStamp> is after the date of <Dt>, true will be returned.",self.TimeStamp.after(self.Dt),
"The example rule checks every transaction amount in the message and if the number of instances is two, true will be returned. The size method returns the size of the set returned by the allInstances method. ",self.Transaction.Amount.allInstances()->size() = 2 ,
 The example rule checks if the date of <Dt> is within 3 days from the system date., self.Dt.allowedDaysInFuture(3),
The example rule checks if the date of <Dt> is within 3 days from the system date.,self.Dt.allowedDaysInPast(3),
"The example rule compares the date of <TimeStamp> to the date of <Dt>. If the date of  <TimeStamp> is before the date of <Dt>, true will be returned.", self.Timestamp.before(self.Dt),
"Example rule expects the position 1 (the second character in string) to contain ""A"".","self.Id.charAt(1) = ""A""",
"Example rule expects the value of Id to contain characters ""aaaa"".","self.Id.compareTo(""aaaa"") = 0",
"Example rule expects the value of Id to contain characters ""aaaa"", ignoring case considerations.","self.Id.compareToIgnoreCase(""aaaa"") = 0",
"This rule takes debtor name and concatenates it with creditor name, and then verifies that Id contains the concatenated string", self.Debtor.Name.concat(self.Creditor.Name) = self.Id,
The example rule checks if the value if element <Id> contains character sequence 'content'.,self.Id.contains('content'),
The example decodes the <AttachmentContent> field value and checks that the length of the decoded value does not exceed 1024 characters.,self.AttachmentContent.decodeBase64().size() <= 1024,
" The rule is checking if the value of the encoding attribute in XML declaration is ""UTF-8"". If it's not, an error will be given."," self.encoding() = ""UTF-8""",
 The example rule checks if the value of <Id> ends with character a., self.Id.endsWith('a'),
" The example rule compares the intiger quotient of the amount to the integer 30. If the integer quotient is 30, true will be returned. 
",self.Amount.floor() = 30,
 The example rule checks if the element <Dt> has a value.,self.Dt.hasValue(),
 The rule here checks if character a is found from the value of element <Id>. The rule passes if character a is not found as then the lastIndexOf method returns value -1.,self.Id.indexOf('a') = -1,
The example rule checks if a DTD is given.,self.isDTDPresent(),
The example rule checks if the <Id> element value is integer or decimal. The rule returns an error if the value is not numeric.,self.Id.isNumeric(),
The example rule check if the value of <Id> element contains only characters and not digits.,self.Id.isOnlyChars(),
The example rule checks if the given country code is valid.,self.PstlAdr.Ctry.isValidCountryCode(),
The example rule checks if the given creditor identifier is valid.,self.Creditor.Id.isValidCreditorIdentifierEPC(),
The example rule checks if the given currency code is valid.,self.Amount.Ccy.isValidCurrencyCode(),
The example rule checks that the value in dateString field is valid ISO 8601 datetime.,"self.dateTimeString.isValidDate(""yyyy-MM-dd'T'HH:mm:ss.SSSXXX"")",
The example rule checks if the given IBAN is valid., self.Debtor.IBAN.isValidIBAN(),
The example rule checks if the given reference is valid.,self.Amount.REF.isValidReference('FI'),
The example rule checks if the given reference is valid.,self.Amount.REF.isValidRF(),
The example checks if last string 'content' is found starting from the position 1 of the value of the <Id> element. First position of a string is 0.,self.Id.lastIndexOf('content') = 9,
"The example rule checks if the string contains only lower case letters from a to z.
 ",self.Id.matches('[a-z]*'),
 The example rule compares the larger amount from the first and second transaction amounts to the right side operand. It's assumed that there is at least two transactions. The 'at' method doesn't work with the Bag type so it has to be changed to Sequence.,self.Transaction->asSequence().Amount->at(0).max(self.Transaction->asSequence().Amount->at(1)) = 100,
 The example rule compares the lowest amount from the first and second transaction amounts to the right side operand. It's assumed that there is at least two transactions. ,self.Transaction.at(0).Amount.min(self.Transaction.at(1).Amount) = 30,
"The example rule compares the date of <TimeStamp> minus 2 days to the date of <Dt>. If the date of  <TimeStamp> after the reduced days equals the date of <Dt>, true will be returned. This works in the same way with months and years.", self.TimeStamp.minusDays(2) = self.Dt,
" The example rule compares the date & time of <TimeStamp> minus 2 hours to the date & time of <Dt>. If the date & time of <TimeStamp> after the reduced hours equals the date & time of <Dt>, true will be returned. This works in the same way with minutes and seconds.",self.TimeStamp.minusHours(2) = self.Dt,
 The example rule checks if the default namespace is 'http://www.XMLdation.com'.,self.namespace() = 'http://www.XMLdation.com',
The example rule checks if the noNamespaceSchemaLocation is given., self.noNamespaceSchemaLocation()->size() = 1,
 The example rule checks if the date of <Dt> converted to a string matches the string on the right side of the equation.,self.Dt.oclAsType(string) = '2018-05-28',
 The example rule checks if the type or supertypes of the value of <Dt> matches the ISO Date type., self.Dt.OclIsKindOf(ISODate),
 The example rule checks if the type of the value of <Dt> matches the ISO Date type.,self.Dt.oclIsTypeOf(ISODate),
 The example rule checks if the value of <Dt> is undefined.,self.Dt.oclIsUndefined(),
" The example rule compares the date of <TimeStamp> plus 2 days to the date of <Dt>. If the date of  <TimeStamp> after the additional days equals the date of <Dt>, true will be returned. This works in the same way with months and years.", self.TimeStamp.plusDays(2) = self.Dt,
" The example rule compares the date & time of <TimeStamp> plus 2 hours to the date & time of <Dt>. If the date & time of <TimeStamp> after the additional hours equals the date & time of <Dt>, true will be returned. This works in the same way with minutes and seconds.",self.TimeStamp.plusHours(2) = self.Dt,
"The example rule compares the nearest integer of the amount to the integer 30. If the nearest integer is 30, true will be returned. ", self.Amount.round() = 30,
 The example rule checks if the schemaLocation attribute is given., self.schemaLocation()->size() = 1,
 The example rule check the length of the value of <Id> element and check that it is less than or equal to 20.,self.Id.size() <= 20,
"Rule checks whether the returned collection contains two parts. I.e, whether the given string contains char ""-"" in the middle of the string."," self.Id.split(""-"")->size() = 2",
The example rule checks if the standalone is 'yes'.,self.standalone() = 'yes',
The example rule checks if the value of <Id> starts with character a.,self.Id.startsWith('a'),
" The example rule takes first two characters, i.e. characters starting form index 0 and ending before index 2, from the <Id> element value and compares it to string ""FI"". Returns true if the string starts with ""FI"".","self.Id.substring(0,2) = ""FI""",
" This rule attempts to convert Id into integer, and then compares it's value to the result of the arithmetic sum of the right side of expression",self.Id.toInteger() = 11 + 11,
" The example rule converts the value of <Id> element to lower case and compares it to ""idcontent"".","self.Id.toLower() = ""idcontent""",
"The example rule tries to convert the value of <Id> to a real number and then compares it to the number 100,01. If <Id> is convertable and matches 100,01, true will be returned.",self.Id.toReal() = 100.01,
 In this example the value of <AttachmentSecureHash> field found from the file is compared to the SHA-1 hash value which is calculated from the value of <AttachmentContent> element of the file., self.AttachmentSecureHash = self.AttachmentContent.toSHA1(),
" The example rule checks if the date of <Dt> matches the string '2018-05-28', when converted to a string.",self.Dt.toString() = '2018-05-28',
" The example rule converts <Id> elements value to upper case and compares it to string ""IDCONTENT""
 "," self.Id.toUpper() = ""IDCONTENT""",
" The example rule executes trim to the <Id> element and compares the result to a string ""IdContent""."," self.Id.trim() = ""IdContent""",
" The rule is checking if the value of the version attribute in XML declaration is ""1.0"". If it's not, an error will be given.","self.version() = ""1.0""",
" The example rule checks whether any element within the header contains value ""2015"".", self.xmlData.contains() = 2015,
The example rule checks the combined lenght of element values from PartyIdentification child elements.,self.xmlDataSize() = 24,
The example rule checks the lenght of PartyIdentification content including tags and values.,self.xmlElementBlockSize() = 17,
